SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2016,1610612752,NYK,New York Knicks,0021600125,2016-11-11,NYK @ BOS,L,239,87,33,94,0.351,6,23.0,0.261,15,17,0.882,21.0,36.0,57.0,19,7.0,11.0,25.0,26.0,-28.0
2016,1610612752,NYK,New York Knicks,0021600106,2016-11-09,NYK vs. BKN,W,239,110,44,92,0.478,10,30.0,0.333,12,17,0.706,9.0,41.0,50.0,25,11.0,5.0,14.0,21.0,14.0
2016,1610612752,NYK,New York Knicks,0021600087,2016-11-06,NYK vs. UTA,L,239,109,42,83,0.506,8,20.0,0.4,17,19,0.895,10.0,29.0,39.0,18,8.0,5.0,12.0,26.0,-5.0
2016,1610612752,NYK,New York Knicks,0021600073,2016-11-04,NYK @ CHI,W,241,117,46,89,0.517,9,21.0,0.429,16,21,0.762,11.0,29.0,40.0,32,7.0,2.0,5.0,23.0,13.0
2016,1610612752,NYK,New York Knicks,0021600058,2016-11-02,NYK vs. HOU,L,242,99,37,85,0.435,8,20.0,0.4,17,25,0.68,7.0,27.0,34.0,18,10.0,6.0,16.0,22.0,-19.0
2016,1610612752,NYK,New York Knicks,0021600050,2016-11-01,NYK @ DET,L,241,89,35,86,0.407,7,22.0,0.318,12,15,0.8,8.0,35.0,43.0,18,6.0,9.0,11.0,20.0,-13.0
2016,1610612752,NYK,New York Knicks,0021600028,2016-10-29,NYK vs. MEM,W,241,111,40,76,0.526,6,21.0,0.286,25,39,0.641,6.0,35.0,41.0,24,4.0,4.0,12.0,25.0,7.0
2016,1610612752,NYK,New York Knicks,0021600001,2016-10-25,NYK @ CLE,L,240,88,32,87,0.368,9,27.0,0.333,15,20,0.75,13.0,29.0,42.0,17,6.0,6.0,18.0,22.0,-29.0
2016,1610612752,NYK,New York Knicks,0011600095,2016-10-20,NYK @ BKN,W,241,116,44,89,0.494,6,22.0,0.273,22,28,0.786,11.0,35.0,46.0,28,14.0,7.0,24.0,26.0,5.0
2016,1610612752,NYK,New York Knicks,0011600089,2016-10-19,NYK @ BOS,W,242,121,45,92,0.489,6,25.0,0.24,25,36,0.694,16.0,34.0,50.0,33,17.0,6.0,13.0,25.0,25.0
2016,1610612752,NYK,New York Knicks,0011600070,2016-10-15,NYK vs. BOS,L,239,107,42,92,0.457,11,27.0,0.407,12,17,0.706,19.0,28.0,47.0,26,9.0,1.0,20.0,24.0,-12.0
2016,1610612752,NYK,New York Knicks,0011600039,2016-10-10,NYK vs. WAS,W,240,90,34,83,0.41,13,30.0,0.433,9,11,0.818,13.0,28.0,41.0,20,11.0,4.0,20.0,20.0,2.0
2016,1610612752,NYK,New York Knicks,0011600031,2016-10-08,NYK vs. BKN,W,240,116,45,84,0.536,12,27.0,0.444,14,23,0.609,9.0,30.0,39.0,26,12.0,3.0,15.0,30.0,18.0
2016,1610612752,NYK,New York Knicks,0011600014,2016-10-04,NYK @ HOU,L,240,103,39,96,0.406,11,31.0,0.355,14,18,0.778,10.0,24.0,34.0,23,9.0,5.0,13.0,20.0,-27.0
2016,1610612752,NYK,New York Knicks,1421600025,2016-07-08,NYK vs. LAC,W,201,106,41,86,0.477,9,18.0,0.5,15,20,0.75,18.0,24.0,42.0,20,14.0,3.0,9.0,20.0,29.0
2016,1610612752,NYK,New York Knicks,1421600015,2016-07-06,NYK vs. ORW,L,200,90,31,68,0.456,10,23.0,0.435,18,22,0.818,10.0,23.0,33.0,20,14.0,4.0,24.0,36.0,-7.2
2016,1610612752,NYK,New York Knicks,1421600013,2016-07-05,NYK vs. LAC,W,210,92,31,76,0.408,8,20.0,0.4,22,29,0.759,12.0,20.0,32.0,19,19.0,2.0,17.0,20.0,8.0
2016,1610612752,NYK,New York Knicks,1421600007,2016-07-03,NYK vs. MIA,L,201,48,18,53,0.34,2,16.0,0.125,10,17,0.588,7.0,29.0,36.0,11,8.0,2.0,26.0,18.0,-26.0
2016,1610612752,NYK,New York Knicks,1421600004,2016-07-02,NYK @ DET,L,200,49,20,67,0.299,3,18.0,0.167,6,13,0.462,8.0,27.0,35.0,7,7.0,5.0,20.0,19.0,-32.0
2015,1610612752,NYK,New York Knicks,0021501212,2016-04-12,NYK @ IND,L,240,90,36,80,0.45,10,27.0,0.37,8,9,0.889,8.0,29.0,37.0,27,6.0,8.0,15.0,17.0,-12.0
2015,1610612752,NYK,New York Knicks,0021501202,2016-04-10,NYK vs. TOR,L,240,89,32,89,0.36,7,20.0,0.35,18,21,0.857,13.0,34.0,47.0,14,4.0,3.0,8.0,15.0,-4.0
2015,1610612752,NYK,New York Knicks,0021501180,2016-04-08,NYK @ PHI,W,241,109,43,91,0.473,4,16.0,0.25,19,30,0.633,12.0,47.0,59.0,19,6.0,8.0,9.0,23.0,7.0
2015,1610612752,NYK,New York Knicks,0021501169,2016-04-06,NYK vs. CHA,L,239,97,37,78,0.474,10,26.0,0.385,13,15,0.867,10.0,33.0,43.0,24,5.0,6.0,18.0,16.0,-14.0
2015,1610612752,NYK,New York Knicks,0021501151,2016-04-03,NYK vs. IND,L,238,87,33,96,0.344,7,25.0,0.28,14,20,0.7,18.0,33.0,51.0,20,7.0,9.0,10.0,18.0,-5.0
2015,1610612752,NYK,New York Knicks,0021501130,2016-04-01,NYK vs. BKN,W,240,105,42,84,0.5,14,23.0,0.609,7,7,1.0,7.0,39.0,46.0,24,4.0,8.0,17.0,12.0,14.0
2015,1610612752,NYK,New York Knicks,0021501117,2016-03-30,NYK @ DAL,L,241,89,35,77,0.455,3,17.0,0.176,16,18,0.889,9.0,34.0,43.0,17,11.0,2.0,20.0,19.0,-2.0
2015,1610612752,NYK,New York Knicks,0021501102,2016-03-28,NYK @ NOP,L,240,91,36,89,0.404,10,31.0,0.323,9,13,0.692,6.0,36.0,42.0,26,9.0,6.0,14.0,26.0,-8.0
2015,1610612752,NYK,New York Knicks,0021501086,2016-03-26,NYK vs. CLE,L,240,93,33,79,0.418,8,23.0,0.348,19,28,0.679,10.0,31.0,41.0,20,5.0,0.0,8.0,23.0,-14.0
2015,1610612752,NYK,New York Knicks,0021501070,2016-03-24,NYK vs. CHI,W,240,106,39,76,0.513,13,30.0,0.433,15,16,0.938,5.0,40.0,45.0,19,4.0,9.0,17.0,12.0,12.0
2015,1610612752,NYK,New York Knicks,0021501060,2016-03-23,NYK @ CHI,W,241,115,45,87,0.517,14,25.0,0.56,11,15,0.733,14.0,39.0,53.0,28,4.0,6.0,10.0,16.0,8.0
2015,1610612752,NYK,New York Knicks,0021501042,2016-03-20,NYK vs. SAC,L,240,80,32,91,0.352,4,19.0,0.211,12,15,0.8,19.0,36.0,55.0,16,5.0,7.0,14.0,16.0,-8.0
2015,1610612752,NYK,New York Knicks,0021501032,2016-03-19,NYK @ WAS,L,240,89,32,81,0.395,10,21.0,0.476,15,17,0.882,9.0,33.0,42.0,21,2.0,9.0,17.0,18.0,-10.0
2015,1610612752,NYK,New York Knicks,0021501011,2016-03-16,NYK @ GSW,L,240,85,36,91,0.396,7,19.0,0.368,6,10,0.6,11.0,27.0,38.0,29,7.0,3.0,9.0,11.0,-36.0
2015,1610612752,NYK,New York Knicks,0021500987,2016-03-13,NYK @ LAL,W,240,90,33,75,0.44,5,21.0,0.238,19,27,0.704,5.0,40.0,45.0,19,5.0,6.0,10.0,16.0,3.0
2015,1610612752,NYK,New York Knicks,0021500972,2016-03-11,NYK @ LAC,L,239,94,34,83,0.41,4,20.0,0.2,22,25,0.88,14.0,34.0,48.0,23,7.0,3.0,14.0,20.0,-7.0
2015,1610612752,NYK,New York Knicks,0021500956,2016-03-09,NYK @ PHX,W,239,128,46,82,0.561,16,24.0,0.667,20,24,0.833,7.0,36.0,43.0,31,8.0,9.0,10.0,18.0,31.0
2015,1610612752,NYK,New York Knicks,0021500946,2016-03-08,NYK @ DEN,L,240,94,33,75,0.44,6,18.0,0.333,22,26,0.846,6.0,37.0,43.0,21,1.0,9.0,16.0,20.0,-16.0
2015,1610612752,NYK,New York Knicks,0021500923,2016-03-05,NYK vs. DET,W,240,102,42,79,0.532,4,16.0,0.25,14,18,0.778,8.0,39.0,47.0,19,4.0,5.0,10.0,14.0,13.0
2015,1610612752,NYK,New York Knicks,0021500915,2016-03-04,NYK @ BOS,L,239,104,42,92,0.457,9,23.0,0.391,11,14,0.786,10.0,35.0,45.0,22,4.0,3.0,10.0,18.0,-1.0
2015,1610612752,NYK,New York Knicks,0021500893,2016-03-01,NYK vs. POR,L,239,85,33,88,0.375,6,21.0,0.286,13,18,0.722,8.0,38.0,46.0,11,4.0,4.0,8.0,17.0,-19.0
2015,1610612752,NYK,New York Knicks,0021500883,2016-02-28,NYK vs. MIA,L,240,81,32,87,0.368,6,15.0,0.4,11,12,0.917,12.0,27.0,39.0,16,8.0,9.0,11.0,23.0,-17.0
2015,1610612752,NYK,New York Knicks,0021500863,2016-02-26,NYK vs. ORL,W,240,108,37,80,0.463,4,16.0,0.25,30,36,0.833,11.0,40.0,51.0,18,7.0,4.0,11.0,15.0,13.0
2015,1610612752,NYK,New York Knicks,0021500846,2016-02-24,NYK @ IND,L,241,105,35,77,0.455,13,26.0,0.5,22,25,0.88,8.0,30.0,38.0,22,4.0,5.0,13.0,17.0,-3.0
2015,1610612752,NYK,New York Knicks,0021500835,2016-02-22,NYK vs. TOR,L,239,95,37,84,0.44,6,20.0,0.3,15,23,0.652,12.0,28.0,40.0,18,2.0,3.0,8.0,20.0,-27.0
2015,1610612752,NYK,New York Knicks,0021500821,2016-02-20,NYK @ MIN,W,239,103,42,83,0.506,5,17.0,0.294,14,16,0.875,11.0,40.0,51.0,17,4.0,7.0,16.0,19.0,8.0
2015,1610612752,NYK,New York Knicks,0021500807,2016-02-19,NYK @ BKN,L,241,98,36,82,0.439,10,26.0,0.385,16,18,0.889,8.0,36.0,44.0,20,6.0,6.0,16.0,17.0,-11.0
2015,1610612752,NYK,New York Knicks,0021500785,2016-02-09,NYK vs. WAS,L,240,108,44,83,0.53,8,26.0,0.308,12,14,0.857,7.0,39.0,46.0,22,6.0,5.0,15.0,20.0,-3.0
2015,1610612752,NYK,New York Knicks,0021500770,2016-02-07,NYK vs. DEN,L,241,96,37,84,0.44,8,22.0,0.364,14,20,0.7,10.0,36.0,46.0,19,2.0,6.0,10.0,24.0,-5.0
2015,1610612752,NYK,New York Knicks,0021500756,2016-02-05,NYK vs. MEM,L,240,85,30,80,0.375,10,29.0,0.345,15,17,0.882,14.0,33.0,47.0,15,2.0,6.0,14.0,23.0,-6.0
2015,1610612752,NYK,New York Knicks,0021500746,2016-02-04,NYK @ DET,L,241,105,36,84,0.429,6,22.0,0.273,27,34,0.794,8.0,35.0,43.0,20,7.0,0.0,9.0,25.0,-6.0
2015,1610612752,NYK,New York Knicks,0021500730,2016-02-02,NYK vs. BOS,L,238,89,31,82,0.378,6,20.0,0.3,21,28,0.75,16.0,34.0,50.0,13,3.0,4.0,16.0,16.0,-8.0
2015,1610612752,NYK,New York Knicks,0021500718,2016-01-31,NYK vs. GSW,L,241,95,33,90,0.367,6,18.0,0.333,23,26,0.885,12.0,29.0,41.0,19,6.0,4.0,11.0,20.0,-21.0
2015,1610612752,NYK,New York Knicks,0021500700,2016-01-29,NYK vs. PHX,W,239,102,36,84,0.429,7,20.0,0.35,23,26,0.885,10.0,39.0,49.0,24,12.0,7.0,8.0,18.0,18.0
2015,1610612752,NYK,New York Knicks,0021500694,2016-01-28,NYK @ TOR,L,239,93,38,87,0.437,7,18.0,0.389,10,20,0.5,12.0,28.0,40.0,20,6.0,8.0,9.0,19.0,-10.0
2015,1610612752,NYK,New York Knicks,0021500679,2016-01-26,NYK vs. OKC,L,264,122,44,95,0.463,11,23.0,0.478,23,30,0.767,9.0,33.0,42.0,24,9.0,7.0,9.0,21.0,-6.0
2015,1610612752,NYK,New York Knicks,0021500655,2016-01-23,NYK @ CHA,L,241,84,29,77,0.377,7,24.0,0.292,19,32,0.594,8.0,43.0,51.0,23,4.0,8.0,14.0,26.0,-13.0
2015,1610612752,NYK,New York Knicks,0021500648,2016-01-22,NYK vs. LAC,L,240,88,33,85,0.388,4,18.0,0.222,18,20,0.9,12.0,30.0,42.0,24,5.0,2.0,17.0,22.0,-28.0
2015,1610612752,NYK,New York Knicks,0021500632,2016-01-20,NYK vs. UTA,W,265,118,47,90,0.522,7,17.0,0.412,17,18,0.944,12.0,26.0,38.0,20,3.0,7.0,9.0,25.0,7.0
2015,1610612752,NYK,New York Knicks,0021500615,2016-01-18,NYK vs. PHI,W,289,119,43,97,0.443,8,20.0,0.4,25,30,0.833,10.0,43.0,53.0,26,6.0,8.0,14.0,19.0,6.0
2015,1610612752,NYK,New York Knicks,0021500607,2016-01-16,NYK @ MEM,L,239,95,35,77,0.455,5,20.0,0.25,20,24,0.833,6.0,30.0,36.0,20,4.0,6.0,8.0,20.0,-8.0
2015,1610612752,NYK,New York Knicks,0021500579,2016-01-13,NYK @ BKN,L,240,104,41,91,0.451,7,22.0,0.318,15,23,0.652,15.0,32.0,47.0,19,10.0,3.0,13.0,13.0,-6.0
2015,1610612752,NYK,New York Knicks,0021500571,2016-01-12,NYK vs. BOS,W,240,120,43,81,0.531,7,20.0,0.35,27,30,0.9,6.0,33.0,39.0,24,5.0,5.0,11.0,17.0,6.0
2015,1610612752,NYK,New York Knicks,0021500562,2016-01-10,NYK vs. MIL,W,239,100,39,84,0.464,7,24.0,0.292,15,18,0.833,12.0,31.0,43.0,25,5.0,7.0,11.0,21.0,12.0
2015,1610612752,NYK,New York Knicks,0021500546,2016-01-08,NYK @ SAS,L,239,99,38,91,0.418,9,21.0,0.429,14,17,0.824,10.0,34.0,44.0,19,1.0,4.0,8.0,14.0,-1.0
2015,1610612752,NYK,New York Knicks,0021500525,2016-01-06,NYK @ MIA,W,241,98,39,70,0.557,3,8.0,0.375,17,18,0.944,5.0,29.0,34.0,15,6.0,5.0,11.0,18.0,8.0
2015,1610612752,NYK,New York Knicks,0021500521,2016-01-05,NYK @ ATL,W,241,107,40,84,0.476,5,18.0,0.278,22,24,0.917,11.0,35.0,46.0,20,7.0,6.0,9.0,20.0,6.0
2015,1610612752,NYK,New York Knicks,0021500506,2016-01-03,NYK vs. ATL,W,239,111,44,88,0.5,11,26.0,0.423,12,14,0.857,12.0,34.0,46.0,27,8.0,7.0,16.0,19.0,14.0
2015,1610612752,NYK,New York Knicks,0021500493,2016-01-01,NYK @ CHI,L,242,81,31,84,0.369,6,19.0,0.316,13,17,0.765,11.0,31.0,42.0,16,3.0,7.0,11.0,25.0,-27.0
2015,1610612752,NYK,New York Knicks,0021500469,2015-12-29,NYK vs. DET,W,239,108,43,79,0.544,8,16.0,0.5,14,17,0.824,6.0,30.0,36.0,23,5.0,8.0,10.0,18.0,12.0
2015,1610612752,NYK,New York Knicks,0021500454,2015-12-27,NYK @ BOS,L,240,91,33,89,0.371,4,19.0,0.211,21,24,0.875,13.0,35.0,48.0,15,6.0,4.0,13.0,23.0,-9.0
2015,1610612752,NYK,New York Knicks,0021500442,2015-12-26,NYK @ ATL,L,239,98,39,81,0.481,7,24.0,0.292,13,17,0.765,12.0,30.0,42.0,25,6.0,8.0,22.0,15.0,-19.0
2015,1610612752,NYK,New York Knicks,0021500424,2015-12-23,NYK @ CLE,L,241,84,32,82,0.39,5,16.0,0.313,15,16,0.938,9.0,35.0,44.0,19,5.0,7.0,11.0,17.0,-7.0
2015,1610612752,NYK,New York Knicks,0021500412,2015-12-21,NYK vs. ORL,L,240,99,39,76,0.513,7,24.0,0.292,14,16,0.875,9.0,30.0,39.0,21,5.0,6.0,15.0,14.0,-8.0
2015,1610612752,NYK,New York Knicks,0021500400,2015-12-19,NYK vs. CHI,W,239,107,41,82,0.5,5,20.0,0.25,20,24,0.833,10.0,33.0,43.0,19,6.0,2.0,11.0,15.0,16.0
2015,1610612752,NYK,New York Knicks,0021500388,2015-12-18,NYK @ PHI,W,238,107,40,85,0.471,6,19.0,0.316,21,28,0.75,14.0,35.0,49.0,24,8.0,6.0,15.0,19.0,10.0
2015,1610612752,NYK,New York Knicks,0021500375,2015-12-16,NYK vs. MIN,W,241,107,37,85,0.435,8,21.0,0.381,25,30,0.833,14.0,36.0,50.0,28,2.0,10.0,14.0,17.0,5.0
2015,1610612752,NYK,New York Knicks,0021500352,2015-12-12,NYK @ POR,W,239,112,39,75,0.52,9,21.0,0.429,25,28,0.893,7.0,27.0,34.0,17,3.0,3.0,11.0,22.0,2.0
2015,1610612752,NYK,New York Knicks,0021500332,2015-12-10,NYK @ SAC,L,239,97,33,83,0.398,9,29.0,0.31,22,28,0.786,13.0,41.0,54.0,17,9.0,6.0,18.0,22.0,-2.0
2015,1610612752,NYK,New York Knicks,0021500327,2015-12-09,NYK @ UTA,L,241,85,31,78,0.397,8,21.0,0.381,15,27,0.556,7.0,29.0,36.0,20,10.0,3.0,10.0,24.0,-21.0
2015,1610612752,NYK,New York Knicks,0021500307,2015-12-07,NYK vs. DAL,L,240,97,40,84,0.476,9,25.0,0.36,8,9,0.889,3.0,34.0,37.0,25,4.0,4.0,13.0,21.0,-7.0
2015,1610612752,NYK,New York Knicks,0021500295,2015-12-05,NYK @ MIL,L,242,91,32,76,0.421,6,25.0,0.24,21,28,0.75,6.0,31.0,37.0,22,4.0,4.0,15.0,24.0,-15.0
2015,1610612752,NYK,New York Knicks,0021500283,2015-12-04,NYK vs. BKN,W,240,108,39,87,0.448,12,27.0,0.444,18,21,0.857,8.0,36.0,44.0,25,8.0,6.0,13.0,14.0,17.0
2015,1610612752,NYK,New York Knicks,0021500271,2015-12-02,NYK vs. PHI,W,241,99,38,88,0.432,4,19.0,0.211,19,22,0.864,8.0,42.0,50.0,19,5.0,9.0,17.0,17.0,12.0
2015,1610612752,NYK,New York Knicks,0021500252,2015-11-29,NYK vs. HOU,L,266,111,45,78,0.577,6,18.0,0.333,15,17,0.882,5.0,38.0,43.0,22,5.0,7.0,21.0,24.0,-5.0
2015,1610612752,NYK,New York Knicks,0021500230,2015-11-27,NYK vs. MIA,L,241,78,32,85,0.376,3,14.0,0.214,11,15,0.733,7.0,32.0,39.0,16,7.0,5.0,10.0,24.0,-19.0
2015,1610612752,NYK,New York Knicks,0021500216,2015-11-25,NYK @ ORL,L,239,91,31,83,0.373,9,27.0,0.333,20,25,0.8,12.0,35.0,47.0,16,2.0,10.0,11.0,23.0,-9.0
2015,1610612752,NYK,New York Knicks,0021500204,2015-11-23,NYK @ MIA,L,239,78,28,87,0.322,4,24.0,0.167,18,21,0.857,15.0,34.0,49.0,12,7.0,4.0,11.0,23.0,-17.0
2015,1610612752,NYK,New York Knicks,0021500194,2015-11-21,NYK @ HOU,W,241,107,34,80,0.425,12,25.0,0.48,27,34,0.794,19.0,26.0,45.0,20,4.0,8.0,11.0,22.0,5.0
2015,1610612752,NYK,New York Knicks,0021500183,2015-11-20,NYK @ OKC,W,241,93,33,72,0.458,12,20.0,0.6,15,23,0.652,6.0,30.0,36.0,23,10.0,5.0,20.0,20.0,3.0
2015,1610612752,NYK,New York Knicks,0021500162,2015-11-17,NYK vs. CHA,W,241,102,36,89,0.404,10,20.0,0.5,20,21,0.952,10.0,35.0,45.0,22,4.0,6.0,10.0,20.0,8.0
2015,1610612752,NYK,New York Knicks,0021500145,2015-11-15,NYK vs. NOP,W,240,95,38,88,0.432,4,18.0,0.222,15,19,0.789,10.0,31.0,41.0,18,8.0,4.0,9.0,20.0,8.0
2015,1610612752,NYK,New York Knicks,0021500130,2015-11-13,NYK vs. CLE,L,240,84,29,79,0.367,9,27.0,0.333,17,21,0.81,10.0,36.0,46.0,16,7.0,4.0,14.0,26.0,-6.0
2015,1610612752,NYK,New York Knicks,0021500113,2015-11-11,NYK @ CHA,L,240,93,42,86,0.488,4,21.0,0.19,5,7,0.714,11.0,41.0,52.0,20,5.0,5.0,16.0,24.0,-2.0
2015,1610612752,NYK,New York Knicks,0021500109,2015-11-10,NYK @ TOR,W,239,111,42,95,0.442,11,23.0,0.478,16,18,0.889,13.0,31.0,44.0,22,8.0,7.0,9.0,27.0,2.0
2015,1610612752,NYK,New York Knicks,0021500095,2015-11-08,NYK vs. LAL,W,239,99,33,84,0.393,9,27.0,0.333,24,29,0.828,10.0,42.0,52.0,22,5.0,5.0,9.0,15.0,4.0
2015,1610612752,NYK,New York Knicks,0021500079,2015-11-06,NYK vs. MIL,L,240,92,33,81,0.407,4,24.0,0.167,22,28,0.786,14.0,29.0,43.0,20,3.0,5.0,15.0,22.0,-7.0
2015,1610612752,NYK,New York Knicks,0021500063,2015-11-04,NYK @ CLE,L,241,86,33,84,0.393,8,24.0,0.333,12,15,0.8,9.0,31.0,40.0,16,6.0,7.0,12.0,23.0,-10.0
2015,1610612752,NYK,New York Knicks,0021500048,2015-11-02,NYK vs. SAS,L,238,84,32,89,0.36,4,13.0,0.308,16,21,0.762,17.0,32.0,49.0,17,8.0,3.0,10.0,18.0,-10.0
2015,1610612752,NYK,New York Knicks,0021500034,2015-10-31,NYK @ WAS,W,240,117,41,86,0.477,9,19.0,0.474,26,32,0.813,9.0,31.0,40.0,21,8.0,5.0,18.0,30.0,7.0
2015,1610612752,NYK,New York Knicks,0021500019,2015-10-29,NYK vs. ATL,L,239,101,38,93,0.409,6,29.0,0.207,19,21,0.905,16.0,32.0,48.0,21,10.0,4.0,21.0,24.0,-11.0
2015,1610612752,NYK,New York Knicks,0021500012,2015-10-28,NYK @ MIL,W,240,122,42,93,0.452,9,23.0,0.391,29,35,0.829,19.0,30.0,49.0,24,11.0,7.0,11.0,28.0,25.0
2015,1610612752,NYK,New York Knicks,0011500100,2015-10-22,NYK @ BOS,L,239,85,33,86,0.384,8,24.0,0.333,11,16,0.688,10.0,35.0,45.0,17,6.0,9.0,15.0,23.0,-14.0
2015,1610612752,NYK,New York Knicks,0011500070,2015-10-17,NYK @ CHA,L,240,93,39,87,0.448,6,21.0,0.286,9,14,0.643,3.0,35.0,38.0,25,10.0,6.0,8.0,21.0,-4.0
2015,1610612752,NYK,New York Knicks,0011500067,2015-10-16,NYK vs. BOS,W,241,101,37,100,0.37,12,25.0,0.48,15,19,0.789,18.0,34.0,52.0,24,12.0,7.0,7.0,25.0,6.0
2015,1610612752,NYK,New York Knicks,0011500047,2015-10-12,NYK vs. PHI,W,239,94,34,79,0.43,5,16.0,0.313,21,28,0.75,7.0,39.0,46.0,22,9.0,7.0,23.0,27.0,6.0
2015,1610612752,NYK,New York Knicks,0011500031,2015-10-09,NYK @ WAS,W,241,115,42,84,0.5,8,22.0,0.364,23,25,0.92,11.0,42.0,53.0,25,3.0,6.0,18.0,25.0,11.0
2015,1610612752,NYK,New York Knicks,0011500021,2015-10-07,NYK vs. BAU,W,240,100,38,78,0.487,8,20.0,0.4,16,22,0.727,13.0,35.0,48.0,21,6.0,2.0,20.0,17.0,19.0
2015,1610612752,NYK,New York Knicks,1521500058,2015-07-17,NYK vs. MIL,W,201,83,35,76,0.461,4,17.0,0.235,9,12,0.75,10.0,27.0,37.0,16,8.0,6.0,11.0,21.0,7.0
2015,1610612752,NYK,New York Knicks,1521500046,2015-07-16,NYK vs. GSW,L,200,54,15,69,0.217,3,19.0,0.158,21,26,0.808,9.0,29.0,38.0,5,5.0,4.0,13.0,30.0,-22.0
2015,1610612752,NYK,New York Knicks,1521500034,2015-07-14,NYK @ PHI,W,209,84,31,64,0.484,5,13.0,0.385,17,24,0.708,5.0,26.0,31.0,16,9.0,7.0,15.0,20.0,3.0
2015,1610612752,NYK,New York Knicks,1521500028,2015-07-13,NYK vs. LAL,W,200,76,27,68,0.397,2,12.0,0.167,20,29,0.69,10.0,33.0,43.0,17,12.0,7.0,19.0,33.0,10.0
2015,1610612752,NYK,New York Knicks,1521500008,2015-07-11,NYK @ SAS,W,199,78,23,54,0.426,5,20.0,0.25,27,33,0.818,5.0,27.0,32.0,15,5.0,8.0,19.0,22.0,5.0
2014,1610612752,NYK,New York Knicks,0021401226,2015-04-15,NYK vs. DET,L,240,90,33,77,0.429,7,19.0,0.368,17,27,0.63,12.0,28.0,40.0,19,6.0,3.0,20.0,18.0,-22.0
2014,1610612752,NYK,New York Knicks,0021401205,2015-04-13,NYK @ ATL,W,239,112,43,77,0.558,13,25.0,0.52,13,19,0.684,9.0,30.0,39.0,33,7.0,7.0,17.0,19.0,4.0
2014,1610612752,NYK,New York Knicks,0021401187,2015-04-11,NYK @ ORL,W,241,80,31,82,0.378,6,20.0,0.3,12,13,0.923,11.0,35.0,46.0,22,3.0,6.0,15.0,18.0,1.0
2014,1610612752,NYK,New York Knicks,0021401180,2015-04-10,NYK vs. MIL,L,240,91,34,72,0.472,5,13.0,0.385,18,24,0.75,5.0,37.0,42.0,22,7.0,5.0,24.0,26.0,-8.0
2014,1610612752,NYK,New York Knicks,0021401165,2015-04-08,NYK vs. IND,L,241,86,29,84,0.345,7,17.0,0.412,21,26,0.808,9.0,25.0,34.0,13,8.0,2.0,11.0,25.0,-16.0
2014,1610612752,NYK,New York Knicks,0021401151,2015-04-05,NYK vs. PHI,W,239,101,37,72,0.514,3,13.0,0.231,24,29,0.828,15.0,34.0,49.0,24,6.0,14.0,18.0,18.0,10.0
2014,1610612752,NYK,New York Knicks,0021401128,2015-04-03,NYK @ WAS,L,240,87,31,84,0.369,7,21.0,0.333,18,20,0.9,9.0,33.0,42.0,17,6.0,5.0,11.0,15.0,-14.0
2014,1610612752,NYK,New York Knicks,0021401116,2015-04-01,NYK vs. BKN,L,240,98,37,81,0.457,11,23.0,0.478,13,15,0.867,10.0,30.0,40.0,20,6.0,4.0,13.0,15.0,-2.0
2014,1610612752,NYK,New York Knicks,0021401088,2015-03-28,NYK @ CHI,L,239,80,30,79,0.38,4,17.0,0.235,16,19,0.842,9.0,26.0,35.0,22,7.0,7.0,13.0,18.0,-31.0
2014,1610612752,NYK,New York Knicks,0021401079,2015-03-27,NYK vs. BOS,L,240,92,38,87,0.437,7,24.0,0.292,9,14,0.643,9.0,27.0,36.0,23,9.0,2.0,12.0,31.0,-4.0
2014,1610612752,NYK,New York Knicks,0021401061,2015-03-25,NYK vs. LAC,L,239,80,29,82,0.354,5,23.0,0.217,17,19,0.895,7.0,27.0,34.0,14,8.0,3.0,20.0,15.0,-31.0
2014,1610612752,NYK,New York Knicks,0021401050,2015-03-23,NYK vs. MEM,L,241,82,32,76,0.421,4,18.0,0.222,14,17,0.824,8.0,29.0,37.0,22,4.0,6.0,17.0,18.0,-21.0
2014,1610612752,NYK,New York Knicks,0021401041,2015-03-22,NYK @ TOR,L,240,89,35,84,0.417,8,19.0,0.421,11,16,0.688,12.0,26.0,38.0,24,9.0,4.0,11.0,23.0,-17.0
2014,1610612752,NYK,New York Knicks,0021401021,2015-03-20,NYK @ PHI,L,240,81,25,69,0.362,8,16.0,0.5,23,26,0.885,7.0,30.0,37.0,16,7.0,8.0,18.0,16.0,-16.0
2014,1610612752,NYK,New York Knicks,0021401016,2015-03-19,NYK vs. MIN,L,265,92,40,97,0.412,4,20.0,0.2,8,10,0.8,12.0,37.0,49.0,22,9.0,5.0,15.0,18.0,-3.0
2014,1610612752,NYK,New York Knicks,0021401001,2015-03-17,NYK vs. SAS,W,265,104,41,91,0.451,3,14.0,0.214,19,27,0.704,15.0,35.0,50.0,22,7.0,10.0,11.0,20.0,4.0
2014,1610612752,NYK,New York Knicks,0021400988,2015-03-15,NYK @ PHX,L,239,89,32,73,0.438,5,14.0,0.357,20,30,0.667,6.0,29.0,35.0,22,10.0,2.0,13.0,22.0,-13.0
